REPRESENTATIVE,PARTY,STATE,VOTE,BILL,ROLLCALL,BILL_NAME,DATE,COMMITTEE
Adams,Democratic,North Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Aderholt,Republican,Alabama,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Aguilar,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Allen,Republican,Georgia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Allred,Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Amodei,Republican,Nevada,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Armstrong,Republican,North Dakota,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Arrington,Republican,Texas,NOT VOTING,7791,218,Access to Baby Formula Act,44699,Education and Labor
Auchincloss,Democratic,Massachusetts,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Axne,Democratic,Iowa,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Babin,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bacon,Republican,Nebraska,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Baird,Republican,Indiana,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Balderson,Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Banks,Republican,Indiana,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Barr,Republican,Kentucky,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Barragán,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bass,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Beatty,Democratic,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bentz,Republican,Oregon,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bera,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bergman,Republican,Michigan,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Beyer,Democratic,Virginia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bice (OK),Republican,Oklahoma,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Biggs,Republican,Arizona,NAY,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bilirakis,Republican,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bishop (GA),Democratic,Georgia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bishop (NC),Republican,North Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Blumenauer,Democratic,Oregon,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Blunt Rochester,Democratic,Delaware,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Boebert,Republican,Colorado,NAY,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bonamici,Democratic,Oregon,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bost,Republican,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bourdeaux,Democratic,Georgia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bowman,Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
"Boyle, Brendan F.",Democratic,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Brady,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Brooks,Republican,Alabama,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Brown (MD),Democratic,Maryland,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Brown (OH),Democratic,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Brownley,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Buchanan,Republican,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Buck,Republican,Colorado,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bucshon,Republican,Indiana,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Budd,Republican,North Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Burchett,Republican,Tennessee,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Burgess,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bush,Democratic,Missouri,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Bustos,Democratic,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Butterfield,Democratic,North Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Calvert,Republican,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cammack,Republican,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Carbajal,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cárdenas,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Carey,Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Carl,Republican,Alabama,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Carson,Democratic,Indiana,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Carter (GA),Republican,Georgia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Carter (LA),Democratic,Louisiana,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Carter (TX),Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cartwright,Democratic,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Case,Democratic,Hawaii,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Casten,Democratic,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Castor (FL),Democratic,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Castro (TX),Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cawthorn,Republican,North Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Chabot,Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cheney,Republican,Wyoming,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cherfilus-McCormick,Democratic,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Chu,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cicilline,Democratic,Rhode Island,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Clark (MA),Democratic,Massachusetts,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Clarke (NY),Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cleaver,Democratic,Missouri,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cline,Republican,Virginia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cloud,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Clyburn,Democratic,South Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Clyde,Republican,Georgia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cohen,Democratic,Tennessee,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cole,Republican,Oklahoma,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Comer,Republican,Kentucky,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Connolly,Democratic,Virginia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cooper,Democratic,Tennessee,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Correa,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Costa,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Courtney,Democratic,Connecticut,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Craig,Democratic,Minnesota,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Crawford,Republican,Arkansas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Crenshaw,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Crist,Democratic,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Crow,Democratic,Colorado,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Cuellar,Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Curtis,Republican,Utah,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Davids (KS),Democratic,Kansas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Davidson,Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
"Davis, Danny K.",Democratic,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
"Davis, Rodney",Republican,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Dean,Democratic,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
DeFazio,Democratic,Oregon,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
DeGette,Democratic,Colorado,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
DeLauro,Democratic,Connecticut,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
DelBene,Democratic,Washington,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Delgado,Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Demings,Democratic,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
DeSaulnier,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
DesJarlais,Republican,Tennessee,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Deutch,Democratic,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Diaz-Balart,Republican,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Dingell,Democratic,Michigan,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Doggett,Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Donalds,Republican,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
"Doyle, Michael F.",Democratic,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Duncan,Republican,South Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Dunn,Republican,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Ellzey,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Emmer,Republican,Minnesota,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Escobar,Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Eshoo,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Espaillat,Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Estes,Republican,Kansas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Evans,Democratic,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Fallon,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Feenstra,Republican,Iowa,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Ferguson,Republican,Georgia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Fischbach,Republican,Minnesota,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Fitzgerald,Republican,Wisconsin,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Fitzpatrick,Republican,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Fleischmann,Republican,Tennessee,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Fletcher,Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Foster,Democratic,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Foxx,Republican,North Carolina,NOT VOTING,7791,218,Access to Baby Formula Act,44699,Education and Labor
"Frankel, Lois",Democratic,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
"Franklin, C. Scott",Republican,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Fulcher,Republican,Idaho,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Gaetz,Republican,Florida,NAY,7791,218,Access to Baby Formula Act,44699,Education and Labor
Gallagher,Republican,Wisconsin,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Gallego,Democratic,Arizona,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Garamendi,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Garbarino,Republican,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Garcia (CA),Republican,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
García (IL),Democratic,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Garcia (TX),Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Gibbs,Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Gimenez,Republican,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Gohmert,Republican,Texas,NAY,7791,218,Access to Baby Formula Act,44699,Education and Labor
Golden,Democratic,Maine,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Gomez,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
"Gonzales, Tony",Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Gonzalez (OH),Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
"Gonzalez, Vicente",Democratic,Texas,NOT VOTING,7791,218,Access to Baby Formula Act,44699,Education and Labor
Good (VA),Republican,Virginia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Gooden (TX),Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Gosar,Republican,Arizona,NAY,7791,218,Access to Baby Formula Act,44699,Education and Labor
Gottheimer,Democratic,New Jersey,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Granger,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Graves (LA),Republican,Louisiana,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Graves (MO),Republican,Missouri,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Green (TN),Republican,Tennessee,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
"Green, Al (TX)",Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Greene (GA),Republican,Georgia,NAY,7791,218,Access to Baby Formula Act,44699,Education and Labor
Griffith,Republican,Virginia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Grijalva,Democratic,Arizona,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Grothman,Republican,Wisconsin,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Guest,Republican,Mississippi,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Guthrie,Republican,Kentucky,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Harder (CA),Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Harris,Republican,Maryland,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Harshbarger,Republican,Tennessee,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Hartzler,Republican,Missouri,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Hayes,Democratic,Connecticut,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Hern,Republican,Oklahoma,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Herrell,Republican,New Mexico,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Herrera Beutler,Republican,Washington,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Hice (GA),Republican,Georgia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Higgins (LA),Republican,Louisiana,NAY,7791,218,Access to Baby Formula Act,44699,Education and Labor
Higgins (NY),Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Hill,Republican,Arkansas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Himes,Democratic,Connecticut,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Hinson,Republican,Iowa,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Hollingsworth,Republican,Indiana,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Horsford,Democratic,Nevada,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Houlahan,Democratic,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Hoyer,Democratic,Maryland,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Hudson,Republican,North Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Huffman,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Huizenga,Republican,Michigan,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Issa,Republican,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Jackson,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Jackson Lee,Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Jacobs (CA),Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Jacobs (NY),Republican,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Jayapal,Democratic,Washington,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Jeffries,Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Johnson (GA),Democratic,Georgia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Johnson (LA),Republican,Louisiana,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Johnson (OH),Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Johnson (SD),Republican,South Dakota,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Johnson (TX),Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Jones,Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Jordan,Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Joyce (OH),Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Joyce (PA),Republican,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kahele,Democratic,Hawaii,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kaptur,Democratic,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Katko,Republican,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Keating,Democratic,Massachusetts,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Keller,Republican,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kelly (IL),Democratic,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kelly (MS),Republican,Mississippi,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kelly (PA),Republican,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Khanna,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kildee,Democratic,Michigan,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kilmer,Democratic,Washington,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kim (CA),Republican,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kim (NJ),Democratic,New Jersey,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kind,Democratic,Wisconsin,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kinzinger,Republican,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kirkpatrick,Democratic,Arizona,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Krishnamoorthi,Democratic,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kuster,Democratic,New Hampshire,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Kustoff,Republican,Tennessee,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
LaHood,Republican,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
LaMalfa,Republican,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lamb,Democratic,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lamborn,Republican,Colorado,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Langevin,Democratic,Rhode Island,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Larsen (WA),Democratic,Washington,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Larson (CT),Democratic,Connecticut,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Latta,Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
LaTurner,Republican,Kansas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lawrence,Democratic,Michigan,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lawson (FL),Democratic,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lee (CA),Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lee (NV),Democratic,Nevada,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Leger Fernandez,Democratic,New Mexico,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lesko,Republican,Arizona,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Letlow,Republican,Louisiana,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Levin (CA),Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Levin (MI),Democratic,Michigan,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lieu,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lofgren,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Long,Republican,Missouri,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Loudermilk,Republican,Georgia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lowenthal,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lucas,Republican,Oklahoma,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Luetkemeyer,Republican,Missouri,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Luria,Democratic,Virginia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Lynch,Democratic,Massachusetts,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Mace,Republican,South Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Malinowski,Democratic,New Jersey,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Malliotakis,Republican,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
"Maloney, Carolyn B.",Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
"Maloney, Sean",Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Mann,Republican,Kansas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Manning,Democratic,North Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Massie,Republican,Kentucky,NAY,7791,218,Access to Baby Formula Act,44699,Education and Labor
Mast,Republican,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Matsui,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
McBath,Democratic,Georgia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
McCarthy,Republican,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
McCaul,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
McClain,Republican,Michigan,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
McClintock,Republican,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
McCollum,Democratic,Minnesota,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
McEachin,Democratic,Virginia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
McGovern,Democratic,Massachusetts,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
McHenry,Republican,North Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
McKinley,Republican,West Virginia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
McNerney,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Meeks,Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Meijer,Republican,Michigan,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Meng,Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Meuser,Republican,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Mfume,Democratic,Maryland,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Miller (IL),Republican,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Miller (WV),Republican,West Virginia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Miller-Meeks,Republican,Iowa,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Moolenaar,Republican,Michigan,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Mooney,Republican,West Virginia,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Moore (AL),Republican,Alabama,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Moore (UT),Republican,Utah,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Moore (WI),Democratic,Wisconsin,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Morelle,Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Moulton,Democratic,Massachusetts,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Mrvan,Democratic,Indiana,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Mullin,Republican,Oklahoma,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Murphy (FL),Democratic,Florida,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Murphy (NC),Republican,North Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Nadler,Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Napolitano,Democratic,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Neal,Democratic,Massachusetts,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Neguse,Democratic,Colorado,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Nehls,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Newhouse,Republican,Washington,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Newman,Democratic,Illinois,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Norcross,Democratic,New Jersey,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Norman,Republican,South Carolina,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
O'Halleran,Democratic,Arizona,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Obernolte,Republican,California,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
Ocasio-Cortez,Democratic,New York,YEA,7791,218,Access to Baby Formula Act,44699,Education and Labor
